created_at_str	generic_common_keys	ticker	notes	status	cmp	entry_price	target1	target2	sl	securities_name	quantity	unrealised_pnl
`2025-08-06	Ussha	DLNS	OLGN RETM ROIPLFOOT OKSCT DLNS TA 029 RTGAET 0001100,135,01+ OTPS LSSO TA 070 CLSNOGI SBSAI									
`2025-09-11	GS	ELIWRALAMB	GS Eyqtiu icPk doGo Pltteioan LAWBIRLAEM PMC 321 otppuSr 272 wVei 273-224	RETNEED	231.5	231.5	245	245	226	hhaeaknrS	86	1161
`2025-09-11	knSeharha ceTh	MIEREPENER	kaearhhSn lciechnaT ERIPREENEM 6013 LS: 890 1T: 1021	DRENEET	1063	1063	1120	1120	980	khanerahS	20	1140
`2025-09-12	Uassh	ATYRA	Uahss OHSRT REMT OT EMUIDM TMER YARAT TA 661-165 TERATG 721,109800,+ SPOT SOLS 451	DEEENRT	165	165	190	190	145	hhkenaraS	125	3125
`2025-09-12	ssUha	CTID	HOTSR ETMR TQYUIE CDTI TA 076 RAETGT 0,03,787070+ PSTO SLSO OT 260	RTNEDEE	655	655	755	755	620	aSaenhhkr	30	3000
`2025-09-12	Ushsa Mtaggbiulre	IHDNA	Uahss ENYPN TKSCO NDHIA 66 raTetg 7,88,725 LS: 55	DNTEERE	65	65	80	85	55	hhraknaeS	300	4500
`2025-09-15	Uhssa	CTAF	sshUa SROHT RTME ETIYUQ CFTA TA 0010 TGRAET 001011,0148,02+ PSOT SOLS 590	RDENETE	1003	1003	1080	1100	1100	aSrnkehah	20	1540
`2025-09-15	sUsah	AITLNLRSRA	haUss TRHSO TMER IQUEYT NIRLLRAATS TA 008 ATGRTE 9,0030808,6+ PSTO SOLS TA 057	RTEDNEE	796	796	880	880	750	anakSherh	25	2100
`2025-09-15	Ussah	SARAND	OHRST MRET ESNDARA TA 006 RGETTA ,700360,066+ SOPT SOSL TA 055	RTEEDEN	630.25	630	700	700	550	ehkShnaar	32	2232
`2025-09-15	sahsU	CCLC	Uhssa EPNNY KTOSC CCLC 52, LS: 22, 31:5T, 0:2T4	DRENEET	25	25.22	32	38	22	Sehakahnr	800	5600
`2025-09-17	saUsh	SLLSQEJAIJ	sashU NENYP TCOSK JQSESLILJA 85, 1T: 46, 07, 57 :L5S2	RDENETE	58	57.48	70	72	52	rhSaenhak	350	4200
`2025-09-17	sasUh	DNGIN	STROH RMTE TIUQYE GDNIN TA 950 ETAGRT 3700,,60672+ PSTO OSSL 504	RETNEDE	590	586.75	670	710	540	ahhareSkn	35	2800
